INERTUM · P&L Projection 2026-2030 · USD · v1.0 · 2026-05-09
,,,,,
Year,2026,2027,2028,2029,2030
Stage,R&D + Prototypes,First Contracts,Series + Tenders,International Markets,Licensing
Revenue,0,1500000,5000000,12000000,25000000
COGS,0,450000,1400000,3000000,6000000
Gross Profit,0,1050000,3600000,9000000,19000000
Gross Margin,N/A,70%,72%,75%,76%
,,,,,
OpEx,400000,850000,1800000,4000000,7000000
EBITDA,-400000,200000,1800000,5000000,12000000
EBITDA Margin,N/A,13%,36%,42%,48%
,,,,,
Capex,40000,80000,300000,500000,400000
Working Capital change,30000,50000,200000,400000,300000
Free Cash Flow,-470000,70000,1300000,4100000,11300000
,,,,,
Headcount EOY,4,8,18,40,75
Capsules sold,0,200,1500,3000,5000
ARR EOY,0,500000,3500000,9500000,22000000
,,,,,
Notes,,,,,
"Revenue mix breakdown for 2030:",,,,,
"INERTUM Auto (200/qtr × $7k)",,,,5600000
"INERTUM Moto (400/qtr × $2k)",,,,3200000
"INERTUM Vault (1000/qtr × $700)",,,,2800000
"INERTUM Archive (200/qtr × $500)",,,,400000
"INERTUM Strategic (Russia gov tender)",,,,11000000
"Licensing (1-2 deals)",,,,2000000
"Total 2030",,,,,25000000
